2022-05-22 10:37:49.347 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.21.Final
2022-05-22 10:44:25.290 [http-nio-9998-exec-8] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":{"content":[],"pageable":{"sort":{"sorted":false,"unsorted":true,"empty":true},"pageNumber":0,"pageSize":10,"offset":0,"paged":true,"unpaged":false},"last":true,"totalElements":0,"totalPages":0,"first":true,"numberOfElements":0,"sort":{"sorted":false,"unsorted":true,"empty":true},"size":10,"number":0,"empty":true},"ok":true}
2022-05-22 10:44:26.537 [http-nio-9998-exec-9] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data limit=10&sign=e30222a5efcbad4377150495c66c2baf&page=1&hoscode=1000_01&timestamp=1653187466533&
2022-05-22 10:44:26.606 [http-nio-9998-exec-9] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":{"content":[],"pageable":{"sort":{"sorted":false,"unsorted":true,"empty":true},"pageNumber":0,"pageSize":10,"offset":0,"paged":true,"unpaged":false},"last":true,"totalElements":0,"totalPages":0,"first":true,"numberOfElements":0,"sort":{"sorted":false,"unsorted":true,"empty":true},"size":10,"number":0,"empty":true},"ok":true}
2022-05-22 10:44:27.830 [http-nio-9998-exec-6] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 发送请求：post data limit=10&sign=e30222a5efcbad4377150495c66c2baf&page=1&hoscode=1000_01&timestamp=1653187467826&
2022-05-22 10:44:27.875 [http-nio-9998-exec-6] INFO  com.ghw.hospital.util.HttpRequestHelper - --> 应答结果：result data {"code":200,"message":"成功","data":{"content":[],"pageable":{"sort":{"sorted":false,"unsorted":true,"empty":true},"pageNumber":0,"pageSize":10,"offset":0,"paged":true,"unpaged":false},"last":true,"totalElements":0,"totalPages":0,"first":true,"numberOfElements":0,"sort":{"sorted":false,"unsorted":true,"empty":true},"size":10,"number":0,"empty":true},"ok":true}
2022-05-22 10:45:31.828 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-05-22 10:45:31.830 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - GuliHikariPool - Shutdown initiated...
2022-05-22 10:45:31.834 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - GuliHikariPool - Shutdown completed.
2022-05-22 10:51:45.516 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.0.21.Final
2022-05-22 10:51:45.596 [restartedMain] INFO  com.ghw.hospital.ManageApplication - Starting ManageApplication on ifstyledeMacBook-Pro.local with PID 13177 (/Users/ifstyle/LearningProject/JavaProjects/UpOneTo/hospital-manage/target/classes started by ifstyle in /Users/ifstyle/LearningProject/JavaProjects/UpOneTo)
2022-05-22 10:51:45.597 [restartedMain] INFO  com.ghw.hospital.ManageApplication - The following profiles are active: dev
2022-05-22 10:51:45.672 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-22 10:51:45.673 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-22 10:51:46.650 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-22 10:51:46.652 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-22 10:51:46.679 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
2022-05-22 10:51:47.232 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9998 (http)
